app_id,TargetedAds,MobileAnalytics,AnyTrackingLibrary,Analytics
ar.gob.afip.mobile.android.internal.seginfo,0,0,0,0
at.tugraz.iaik.signapp,1,0,1,0
br.com.powersoftware.otpsafe,0,0,0,0
br.com.voegol.tokenagenciasgol,1,1,2,0
br.gov.caixa.codigocaixa,0,0,0,0
club.nagavip.otp,1,0,1,0
com.LuxTrustMobile,1,0,1,0
com.aff.otpdirekt,1,1,2,0
com.andxor.mobile.jsotp.piteco,0,0,0,0
com.arcot.otp1,0,0,0,0
com.authenticator.authservice2,1,0,1,0
com.authy.authy,1,0,1,0
com.azure.authenticator,1,1,2,0
com.beemdevelopment.aegis,0,0,0,0
com.bitrixsoft.otp,0,0,0,0
com.bncr.detectid_otp,1,0,1,0
com.ca.sec.aa.authenticator,1,0,1,0
com.canopus.otpmacgenerator,0,0,0,0
com.canopus.otpmacgenerator.finductive,0,0,0,0
com.deepnet.andmob5,1,0,1,0
com.dreammirae.anyauth.android,0,0,0,0
com.entrust.identityGuard.mobile,1,0,1,0
com.eset.esa,1,0,1,0
com.feelanet.artstrongid.sec,1,0,1,0
com.forgerock.authenticator,0,0,0,0
com.ftsafe.otp.activity,1,0,1,0
com.goldtime.authy,0,0,0,0
com.gstotpauthenticator,1,0,1,0
com.halcom.ng.mobile.puppaltr,1,0,1,0
com.khla.otpapp.callhttpclient,0,0,0,0
com.kienlongbank.etoken,1,0,1,0
com.kiwoom.unitycert,0,0,0,0
com.kmcert.myotp,1,0,1,0
com.lenovo.otp,0,0,0,0
com.mds.canarabankapp,0,0,0,0
com.mobilians.motp,1,0,1,0
com.namirial.android.virtualotp,1,0,1,0
com.ncs.secureconnect.otp,0,0,0,0
com.nof.makanoh.openkeypos,1,0,1,0
com.ocb.iotp,1,0,1,0
com.pacifico.pacificid,1,1,2,0
com.pentasecurity.isignplus.mobileotp,0,0,0,0
com.pozitron.qib,1,0,1,0
com.protectimus.totpburner.nfc,1,1,2,0
com.pvcombank.smartotp,0,0,0,0
com.qrail.token,1,0,1,0
com.rcdevs.auth,0,0,0,0
com.sgn.sgotp,0,0,0,0
com.stove.otp.google.android,1,1,2,0
com.systemat.SeeZam_OTP,1,0,1,0
com.techcombank.stk.corp,1,0,1,0
com.trumotp.club,0,0,0,0
com.viafirma.otp,0,0,0,0
com.vietinbank.softotp,1,0,1,0
com.vpbank.vpbanksmartotp,1,0,1,0
com.vtc.main.otpapp,0,0,0,0
dev.cat.coffee.authenticator,1,0,1,0
eu.netinfo.netteller.cqur.motp,1,0,1,0
hr.asseco.android.intesa.isbd.alex,1,0,1,0
hr.asseco.android.jimba.otpretailng,1,0,1,0
hr.asseco.android.otp,1,0,1,0
io.faceotp.faceotp,1,0,1,0
it.previnet.authenticator,1,0,1,0
it.uiv.uivotp,0,0,0,0
kr.co.neople.neopleotp,1,1,2,0
kr.kjun.NaverSetup,1,0,1,0
kr.or.kftc.fsc,1,0,1,0
netinfo.eu.symantec,1,0,1,0
nh.smart.signone,0,0,0,0
no.SpareBank1.MobileOTP,1,0,1,0
no.buypass.mobile.bpcode.bp,0,0,0,0
org.fedorahosted.freeotp,0,0,0,0
org.juanjcsr.newcloudotp,0,0,0,0
org.kamrul.android.myauth,0,0,0,0
org.liberty.android.freeotpplus,0,0,0,0
org.shadowice.flocke.andotp,0,0,0,0
otl.snkl.HDFCSnorkelOTP,1,1,2,0
ru.yandex.key,0,0,0,0
sg.worktable.pingoauth,1,0,1,0
sk.otp.viamo,1,0,1,0
teakwang.tsis.motp,0,0,0,0
tm.asmanoky.otp,1,0,1,0
two.factor.secure.otp.authentication,1,0,1,0
ua.com.cs.ifobs.mobile.android.otp,0,0,0,0
vietcombank.itcenter.vcbsmartoptv10,1,0,1,0
vn.com.eximbank.softotp,1,0,1,0
vn.mk.token.baseotp,1,0,1,0
vn.tpb.token.baseotp,1,0,1,0
vn.unlimit.magicauth,1,0,1,0
wibmo.com.wibmoAuthApp,1,0,1,0
