,app_id,PP_link,svm_res,language,text,5
2,com.authy.authy, https://www.twilio.com/legal/privacy/authy,False,en, text fine,
7,com.egypt.ais.masriacard.mcmotp, http://www.masriacard.com,False,en, text fine,
9,token.security.m2m.com.generateotp, http://maubank.mu,False,en, text fine,
18,hr.asseco.android.mtoken.ht.test, http://www.t.ht.hr/en/corporate-social-responsibility/protecting-privacy/#section-nav,False,en, text fine,
19,com.dreammirae.otp.android.mirae, http://otp.nttgame.com/about/,False,en, text fine,
31,com.mollatech.android.apps.authenticators, https://www.acledabank.com.kh/kh/eng/,False,en, text fine,
32,com.bncr.detectid_otp, https://www.bncr.fi.cr/transparencia/Paginas/P%C3%A1ginas%20internas/Legal-Pol%C3%ADticas-Privacidad.aspx,False,en, text fine,
39,ngn.com.vn.totp, http://ngn.com.vn,False,en, text fine,
40,com.halcom.ng.mobile.puppaltr, https://otpbank.al/en/politikat-e-privatesise/,False,en, text fine,
44,com.vietinbank.softotp, https://qldt.vnpay.vn/policy/privacy-policy-en.html,False,en, text fine,
47,cy.com.netinfo.crdbotp, https://simbanking.crdbbank.com/en/fetch/terms,False,en, text fine,
48,hr.asseco.android.otp, https://see.asseco.com/privacy-policy/,False,en, text fine,
51,com.zenithbank.zenithetoken, https://www.zenithbank.com/customer-service/privacy-policy/,False,en, text fine,
58,com.sgn.sgotp.lotte, http://www.sgni.co.kr,False,en, text fine,
59,oracle.idm.mobile.authenticator, http://www.oracle.com/us/legal/privacy/index.html,False,en, text fine,
71,org.juanjcsr.newcloudotp, https://gist.github.com/juanjcsr/ba688a3e1ba8d512ff67085065f52762,False,en, text fine,
72,com.square_enix_software_token, https://square-enix-games.com/en_GB/documents/privacy,False,en, text fine,
74,com.gemalto.idprove, http://www.gemalto.com/companyinfo/privacy-policy-idproveotp,False,en, text fine,
81,com.u2fa.secur, https://github.com/shamith16/Secur-2fa/blob/master/PRIVACY.md,False,en, text fine,
88,org.fedorahosted.freeotp, https://freeotp.github.io/privacy.html,False,en, text fine,
96,eu.sebbe.www.qrsa, https://github.com/sebastiannielsen/QRSA/blob/master/PRIVACYPOLICY.md,False,en, text fine,
110,org.shadowice.flocke.andotp, https://github.com/andOTP/andOTP/wiki/Privacy-policy,False,en, text fine,
124,com.beemdevelopment.aegis, https://getaegis.app/aegis/privacy.html,False,en, text fine,
134,com.net2recharge.otp, http://net2recharge.com/,False,en, text fine,
136,com.stove.otp.google.android, https://terms.onstove.com/privacy_policy_en/index.html,False,en, text fine,
137,com.FAISATOKEN, http://www.mib.com.mv,False,en, text fine,
149,com.lenovo.otp, https://otp.lenovo.com/otp/policy.html,False,en, text fine,
160,net.aftnet.OTPManager, https://www.aftnet.net/document/otp-manager-privacy-policy/,False,en, text fine,
164,vietcombank.itcenter.vcbsmartoptv10, http://vietcombank.com.vn/upload/2017/05/10/noi%20dung%20thoa%20thuan%20su%20dung%20dich%20vu%20nhdt.pdf,False,en, text fine,
165,jp.co.nttdata.onetimepassworda, https://dlsp.otp-auth.net/otpd/app/privacyPolicyA/privacyPolicyIndexA.html,False,en, text fine,
